UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20,Response,cluster
7.800517,5.5785394,4.415153,7.1788993,3.8701084,1.2224054,3.5771034,3.988968,5.6740212,4.6666136,5.4438124,3.8391788,4.5338044,5.2164965,4.374671,4.45451,5.298015,4.7208123,5.3272734,6.2258005,0,3
7.7571635,3.716242,4.1723056,6.0845733,3.9987047,1.5970721,3.5708094,3.6658378,5.8631415,4.5673547,5.32519,3.8953629,4.9758863,5.128647,3.9632585,4.302888,5.1995044,5.1021233,5.5105047,6.5389667,0,3
8.241353,11.846687,1.2597767,4.7425914,6.0137796,5.5773473,4.8197756,5.8198996,5.646303,5.0552654,4.890064,3.828434,4.5417347,4.858716,6.0433664,4.4759927,5.16836,5.3992085,4.8812203,5.8136067,1,0
7.694003,1.2133069,2.9762807,1.72857,5.2275877,5.595586,4.3954964,4.76728,4.901016,5.521578,5.175063,4.6110425,5.0781817,4.6622005,4.68177,5.0338664,4.899608,4.8587484,5.08938,6.211607,0,1
7.4317694,3.0141833,2.6179042,6.4066067,5.0651345,7.5321054,3.8094707,4.3823457,5.269201,4.2957516,4.9159303,4.8250103,5.0120716,4.279095,5.1836214,4.296158,4.9104033,4.5771265,5.2175927,6.269967,0,2
7.7115946,5.152928,4.1507406,7.183974,3.9577641,1.6784947,3.6240363,3.9816449,5.726606,4.5521746,5.3632817,3.8344278,4.648257,5.1954346,4.380259,4.444969,5.2657895,4.925611,5.3434415,6.292297,1,3
7.751948,2.9895968,4.131925,5.739062,3.815891,1.51259,3.5668693,3.4791033,6.004886,4.570712,5.260211,3.8687491,5.2716804,5.189078,3.7468016,4.121209,5.12799,5.281748,5.737789,6.689758,0,3
7.473902,2.563196,2.245771,6.7854214,5.392617,9.789838,3.612456,4.330008,5.2989597,4.2306523,4.811333,5.2037954,5.1696906,4.139588,5.24749,4.236624,4.7065334,4.6163664,5.227166,6.178694,0,2
7.898406,10.803113,1.4447596,5.1808543,5.7523766,5.5142746,4.7652655,5.9937673,5.4924016,4.7450266,4.939725,3.6800566,4.8067036,4.585867,5.7437463,4.428906,5.3909836,5.1087303,5.103287,5.772627,0,0
7.7094193,5.0466075,4.317596,6.8975005,3.967464,1.4297141,3.562616,3.804144,5.6869783,4.734998,5.294026,3.7608159,4.5981402,5.3188996,4.3581614,4.3280106,5.21475,5.021966,5.324535,6.3230863,0,3
7.4990573,4.3026357,3.54147,9.63353,4.266265,3.6617744,3.0469773,3.6942668,5.8941913,3.078199,5.422348,4.039625,4.8490415,4.481814,4.3664007,3.7079456,5.0921707,4.6637383,5.2246404,6.2254014,0,3
7.5177846,2.7084777,2.4562263,6.665586,5.0716376,8.467711,3.8042507,4.435025,5.1922803,4.2051563,4.7360907,4.978792,5.0759974,4.0973296,5.268815,4.288677,4.754447,4.564364,5.139918,6.28613,0,2
7.451109,5.546985,4.426398,7.7558203,3.9130461,1.6535207,3.6874475,4.143477,5.9213443,4.1948442,5.4342666,3.7557094,4.50734,5.2498274,4.600104,4.445538,5.3045554,4.805691,5.175066,6.263194,0,3
7.53357,5.3493943,4.6139636,7.8970623,4.1993065,2.1367428,3.5085537,4.074909,5.91413,3.951655,5.4872103,3.960031,4.5816298,4.929644,4.44841,4.304662,5.262419,4.5985575,5.206613,6.2356677,0,3
7.557299,4.890248,3.9593847,8.777602,4.3052926,3.0932767,3.2220888,3.849899,5.769085,3.626937,5.3682065,3.9846659,4.696512,4.729544,4.4350696,3.9806056,5.1500783,4.714727,5.195943,6.228888,0,3
7.5501986,4.7351437,4.0214667,9.0549555,4.5062118,3.124397,3.2184923,3.6846852,5.943465,3.3813198,5.409396,3.965154,4.7019973,4.6731334,4.270785,3.8158672,5.1372643,4.769393,5.244763,6.2466693,0,3
-2.3974395,6.8199644,8.417658,1.7856977,3.2889864,5.3703923,8.546283,2.8973799,4.116028,6.358777,4.2404613,8.076346,7.7625885,2.4743237,4.7321105,5.3712173,3.3188024,3.4179633,3.857729,5.6633234,0,4
7.9173923,11.082242,0.5772225,5.2049155,7.0879984,4.6284723,5.553014,5.894479,5.4299793,4.6959248,4.788266,3.7010238,4.2641253,5.287145,5.5319967,5.203444,5.620411,5.145498,5.2264767,5.545387,0,0
7.2794223,4.5696645,3.9598343,9.558571,4.720993,4.0101237,3.1625795,3.8303847,5.937325,3.0599306,5.236167,3.959843,4.676012,4.6910677,4.5023923,3.782231,5.1243525,4.997796,5.082824,6.3430996,0,3
7.2911043,4.9167433,3.9023557,8.720573,4.0131273,3.3251557,3.2995012,4.2467427,5.6985607,3.6694236,5.260322,3.9534967,4.668463,4.897203,4.850484,4.255389,5.2076454,4.783388,5.017116,6.297796,0,3
7.731947,1.122183,3.31174,1.7441579,5.6814876,6.3746934,4.3546185,5.0010552,5.0590796,5.924094,5.4409466,4.4659243,4.9970574,4.6813064,4.8093376,5.0809703,5.0030103,4.7842827,5.370014,6.108742,0,1
8.393401,8.419614,12.157087,5.4211044,4.48354,6.193934,3.6415865,4.9668264,4.2212095,6.752808,5.483138,6.072255,4.882938,4.553346,4.548245,5.2408905,4.9351873,4.2948976,4.294489,7.058337,0,5
7.7444897,2.240157,2.2869298,7.1542864,5.078851,9.039633,4.068309,4.6537557,4.985062,4.0801415,4.324055,5.135741,5.0851865,3.7366648,5.459048,4.3300185,4.495843,4.519496,5.0215297,6.342084,0,2
7.9899335,11.204732,0.63989896,5.355568,7.1092114,4.5012403,5.3372626,5.867822,5.6093216,4.7991834,4.9544287,3.7855954,4.2142615,5.16714,5.6281476,4.926866,5.526861,5.0142555,5.155173,5.67448,0,0
8.13915,11.758001,1.5566924,4.589109,5.1359725,5.7882876,4.569001,5.989754,5.6428666,5.0947566,4.7910967,3.6924565,4.5492578,4.7584734,6.1525908,4.367722,5.352558,5.389747,4.9896283,5.7347417,1,0
7.9578815,11.022281,1.4927049,5.008845,5.592424,5.5943313,4.6997547,6.0022964,5.4880667,4.8345532,4.89732,3.6467538,4.778999,4.5910435,5.8840947,4.3880596,5.3547926,5.1984463,5.02791,5.8005924,0,0
8.380831,8.5286455,12.443227,5.299921,4.4609337,6.3912854,3.8173661,4.857361,4.2293653,6.8155684,5.5987315,6.111685,4.9452057,4.5717554,4.464914,5.383942,5.0504994,4.1367517,4.335521,7.0188446,1,5
7.5216074,2.5905492,2.3511627,6.638416,5.27073,8.9310055,3.7696729,4.628845,5.048886,4.2677803,4.6452217,5.1375704,5.088743,3.9813833,5.2677207,4.2711887,4.760778,4.45286,5.2305956,6.2577043,0,2
7.67029,2.340171,2.2149816,6.9931626,5.0538883,9.066916,3.9264195,4.6894584,4.9646635,4.132196,4.4137883,5.2161407,5.079606,3.7403588,5.44416,4.2459087,4.5983734,4.4251323,5.1117864,6.326604,0,2
7.56657,4.7628765,3.874466,8.91994,4.2417474,3.051531,3.2124925,3.8013484,5.830205,3.5239568,5.4136724,3.985507,4.734429,4.685241,4.391248,3.9304683,5.1454897,4.680723,5.221169,6.2230434,0,3
7.894918,5.264787,4.23583,6.936656,4.2401505,1.6915073,3.6353047,3.7743437,5.654035,4.7951174,5.3350077,3.8405366,4.5806847,5.1818037,4.20024,4.349034,5.2105656,4.982935,5.4254956,6.2291303,0,3
7.845578,5.577252,4.012941,7.2329183,3.8074896,1.1861881,3.6865258,3.982753,5.652058,4.755946,5.407531,3.7110817,4.5250897,5.341289,4.3781385,4.4958286,5.308576,4.901261,5.397884,6.191679,0,3
